Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Glover Teixeira,Jan Blachowicz,Light Heavyweight,Glover Teixeira,Jan Blachowicz,SUB,Rear Naked Choke,2,182,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Petr Yan,Cory Sandhagen,Bantamweight,Petr Yan,Cory Sandhagen,U-DEC,,5,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Islam Makhachev,Dan Hooker,Lightweight,Islam Makhachev,Dan Hooker,SUB,Kimura,1,145,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Alexander Volkov,Marcin Tybura,Heavyweight,Alexander Volkov,Marcin Tybura,U-DEC,,3,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Khamzat Chimaev,Li Jingliang,Welterweight,Khamzat Chimaev,Li Jingliang,SUB,Rear Naked Choke,1,196,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Magomed Ankalaev,Volkan Oezdemir,Light Heavyweight,Magomed Ankalaev,Volkan Oezdemir,U-DEC,,3,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Amanda Ribas,Virna Jandiroba,Women's Strawweight,Amanda Ribas,Virna Jandiroba,U-DEC,,3,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Zubaira Tukhugov,Ricardo Ramos,Featherweight,Zubaira Tukhugov,Ricardo Ramos,U-DEC,,3,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Albert Duraev,Roman Kopylov,Middleweight,Albert Duraev,Roman Kopylov,U-DEC,,3,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Elizeu Zaleski dos Santos,Benoit Saint Denis,Welterweight,Elizeu Zaleski dos Santos,Benoit Saint Denis,U-DEC,,3,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Michal Oleksiejczuk,Shamil Gamzatov,Light Heavyweight,Michal Oleksiejczuk,Shamil Gamzatov,KO/TKO,Punch,1,211,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Lerone Murphy,Makwan Amirkhani,Featherweight,Lerone Murphy,Makwan Amirkhani,KO/TKO,Knee,2,14,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Andre Petroski,Hu Yaozong,Middleweight,Andre Petroski,Hu Yaozong,SUB,Arm Triangle,3,286,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Tagir Ulanbekov,Allan Nascimento,Flyweight,Tagir Ulanbekov,Allan Nascimento,S-DEC,,3,300,UFC 267: Blachowicz vs. Teixeira,2021-10-30
Marvin Vettori,Paulo Costa,Light Heavyweight,Marvin Vettori,Paulo Costa,U-DEC,,5,300,UFC Fight Night: Costa vs. Vettori,2021-10-23
Grant Dawson,Ricky Glenn,Lightweight,DRAW,DRAW,M-DEC,,3,300,UFC Fight Night: Costa vs. Vettori,2021-10-23
Jessica-Rose Clark,Joselyne Edwards,Women's Bantamweight,Jessica-Rose Clark,Joselyne Edwards,U-DEC,,3,300,UFC Fight Night: Costa vs. Vettori,2021-10-23
Alex Caceres,SeungWoo Choi,Featherweight,Alex Caceres,SeungWoo Choi,SUB,Rear Naked Choke,2,211,UFC Fight Night: Costa vs. Vettori,2021-10-23
Francisco Trinaldo,Dwight Grant,Welterweight,Francisco Trinaldo,Dwight Grant,S-DEC,,3,300,UFC Fight Night: Costa vs. Vettori,2021-10-23
Nicolae Negumereanu,Ike Villanueva,Light Heavyweight,Nicolae Negumereanu,Ike Villanueva,KO/TKO,Punches,1,78,UFC Fight Night: Costa vs. Vettori,2021-10-23
