Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Light Heavyweight,Glover Teixeira,Jan Blachowicz,SUB,Rear Naked Choke,2,182,Glover Teixeira,74,205,76,Orthodox,33,7,0,1979-10-28,0,23,39,0.58,71,93,2,6,0.33,2,0,317,17,33,6,6,0,0,11,25,0,0,12,14,Jan Blachowicz,74,205,78,Orthodox,28,9,0,1983-02-24,0,28,45,0.62,53,73,0,0,0.0,0,0,15,20,37,6,6,2,2,26,43,1,1,1,1
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Bantamweight,Petr Yan,Cory Sandhagen,Decision,Unanimous Decision,5,300,Petr Yan,67,135,67,Switch,16,2,0,1993-02-11,1,149,270,0.55,158,280,0,2,0.0,1,1,69,100,217,27,29,22,24,135,252,7,9,7,9,Cory Sandhagen,71,135,70,Switch,14,4,0,1992-04-20,0,169,445,0.37,172,449,1,6,0.16,0,1,20,118,389,28,32,23,24,168,443,1,2,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Lightweight,Islam Makhachev,Dan Hooker,SUB,Kimura,1,145,Islam Makhachev,70,155,70,Southpaw,21,1,0,1991-10-27,0,2,3,0.66,13,14,1,1,1.0,2,0,108,2,3,0,0,0,0,2,3,0,0,0,0,Dan Hooker,72,155,75,Switch,21,11,0,1990-02-13,0,4,13,0.3,19,28,0,0,0.0,0,0,0,1,10,0,0,3,3,4,13,0,0,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Heavyweight,Alexander Volkov,Marcin Tybura,Decision,Unanimous Decision,3,300,Alexander Volkov,79,250,80,Orthodox,34,9,0,1988-10-24,0,75,139,0.53,89,153,0,0,0.0,0,0,120,53,117,18,18,4,4,54,114,18,22,3,3,Marcin Tybura,75,249,78,Orthodox,22,7,0,1985-11-09,0,58,139,0.41,73,157,0,16,0.0,0,0,121,39,117,15,17,4,5,47,121,11,18,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Welterweight,Khamzat Chimaev,Li Jingliang,SUB,Rear Naked Choke,1,196,Khamzat Chimaev,74,170,75,Orthodox,10,0,0,1994-05-01,0,25,25,1.0,58,62,1,2,0.5,3,0,181,25,25,0,0,0,0,1,1,0,0,24,24,Li Jingliang,72,170,71,Orthodox,18,7,0,1988-03-20,0,0,1,0.0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Light Heavyweight,Magomed Ankalaev,Volkan Oezdemir,Decision,Unanimous Decision,3,300,Magomed Ankalaev,75,205,75,Orthodox,16,1,0,1992-06-02,1,66,108,0.61,76,118,1,4,0.25,0,0,105,43,82,20,23,3,3,59,100,6,7,1,1,Volkan Oezdemir,74,205,75,Orthodox,17,6,0,1989-09-19,0,48,102,0.47,56,112,0,1,0.0,0,0,0,23,67,3,12,22,23,41,92,7,10,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Women's Strawweight,Amanda Ribas,Virna Jandiroba,Decision,Unanimous Decision,3,300,Amanda Ribas,63,125,66,Orthodox,11,2,0,1993-08-26,0,88,233,0.37,124,273,1,5,0.2,1,0,43,59,194,15,24,14,15,84,227,4,6,0,0,Virna Jandiroba,63,115,64,Orthodox,17,3,0,1988-05-30,1,50,155,0.32,119,224,1,8,0.12,0,0,186,46,141,4,14,0,0,46,148,1,4,3,3
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Featherweight,Zubaira Tukhugov,Ricardo Ramos,Decision,Unanimous Decision,3,300,Zubaira Tukhugov,68,145,68,Orthodox,20,5,1,1991-01-15,0,77,181,0.42,78,185,2,7,0.28,0,0,55,73,174,2,5,2,2,77,181,0,0,0,0,Ricardo Ramos,69,145,72,Orthodox,15,4,0,1995-08-01,0,68,224,0.3,71,227,0,0,0.0,0,0,0,49,187,10,19,9,18,67,223,1,1,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Middleweight,Albert Duraev,Roman Kopylov,Decision,Unanimous Decision,3,300,Albert Duraev,71,185,75,Orthodox,15,3,0,1989-01-05,0,71,140,0.5,152,265,1,9,0.11,1,0,333,54,118,6,8,11,14,41,92,0,0,30,48,Roman Kopylov,72,185,75,Southpaw,8,2,0,1991-05-04,1,42,93,0.45,54,111,1,2,0.5,0,0,25,30,76,7,12,5,5,35,81,2,4,5,8
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Welterweight,Elizeu Zaleski dos Santos,Benoit Saint Denis,Decision,Unanimous Decision,3,300,Elizeu Zaleski dos Santos,71,170,73,Orthodox,23,7,0,1986-12-11,0,149,259,0.57,167,279,0,4,0.0,0,0,120,96,200,37,42,16,17,112,207,32,47,5,5,Benoit Saint Denis,71,170,73,Southpaw,8,1,0,1995-12-18,0,67,148,0.45,80,162,2,14,0.14,0,0,115,40,114,20,27,7,7,64,140,3,7,0,1
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Light Heavyweight,Michal Oleksiejczuk,Shamil Gamzatov,KO/TKO,Punch,1,211,Michal Oleksiejczuk,72,205,74,Southpaw,16,4,0,1995-02-22,1,32,55,0.58,32,55,0,0,0.0,0,0,3,27,48,5,7,0,0,29,48,0,0,3,7,Shamil Gamzatov,74,205,76,Orthodox,14,1,0,1990-08-09,0,35,67,0.52,35,67,0,2,0.0,0,0,0,16,45,13,16,6,6,34,65,1,2,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Featherweight,Lerone Murphy,Makwan Amirkhani,KO/TKO,Knee,2,14,Lerone Murphy,69,145,73,Orthodox,11,0,1,1991-07-22,1,4,5,0.8,7,8,0,0,0.0,0,0,9,4,5,0,0,0,0,1,2,0,0,3,3,Makwan Amirkhani,70,145,72,Southpaw,16,7,0,1988-11-08,0,4,6,0.66,12,16,5,7,0.71,0,0,245,3,5,1,1,0,0,1,2,0,0,3,4
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Middleweight,Andre Petroski,Hu Yaozong,SUB,Arm Triangle,3,286,Andre Petroski,72,185,73,Switch,7,2,0,1991-06-12,0,72,102,0.7,79,111,4,8,0.5,6,1,579,60,88,10,12,2,2,42,67,0,0,30,35,Hu Yaozong,75,185,72,Orthodox,3,3,0,1995-04-07,0,25,65,0.38,27,67,0,0,0.0,0,0,13,17,57,6,6,2,2,24,64,1,1,0,0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Flyweight,Tagir Ulanbekov,Allan Nascimento,Decision,Split Decision,3,300,Tagir Ulanbekov,67,125,70,Southpaw,14,1,0,1991-08-07,0,18,40,0.45,62,87,4,5,0.8,1,1,724,16,37,1,1,1,2,8,26,0,0,10,14,Allan Nascimento,68,125,69,Orthodox,17,6,0,1991-09-11,0,25,37,0.67,74,86,0,1,0.0,2,0,16,13,24,2,3,10,10,14,25,1,2,10,10
UFC Fight Night: Costa vs. Vettori,2021-10-23,Light Heavyweight,Marvin Vettori,Paulo Costa,Decision,Unanimous Decision,5,300,Marvin Vettori,72,205,74,Southpaw,18,5,1,1993-09-20,0,190,346,0.54,214,373,1,5,0.2,0,0,207,154,307,33,36,3,3,168,316,21,29,1,1,Paulo Costa,73,205,72,Orthodox,13,2,0,1991-04-21,0,163,260,0.62,172,269,1,1,1.0,0,0,47,82,174,67,72,14,14,154,249,5,5,4,6
UFC Fight Night: Costa vs. Vettori,2021-10-23,Lightweight,DRAW,DRAW,Decision,Majority Decision,3,300,Grant Dawson,70,155,72,Switch,17,1,1,1994-02-20,0,24,31,0.77,71,85,3,11,0.27,0,0,506,12,17,11,13,1,1,3,7,2,2,19,22,Ricky Glenn,72,155,70,Southpaw,22,6,2,1989-04-12,0,28,41,0.68,88,104,0,0,0.0,1,0,270,19,26,7,12,2,3,8,19,1,1,19,21
UFC Fight Night: Costa vs. Vettori,2021-10-23,Women's Bantamweight,Jessica-Rose Clark,Joselyne Edwards,Decision,Unanimous Decision,3,300,Jessica-Rose Clark,65,135,64,Orthodox,11,6,0,1987-11-28,0,18,27,0.66,54,74,5,11,0.45,0,0,700,9,17,5,5,4,5,10,19,4,4,4,4,Joselyne Edwards,68,135,70,Orthodox,10,4,0,1995-09-29,0,30,48,0.62,72,94,0,0,0.0,0,0,98,19,33,7,9,4,6,23,41,3,3,4,4
UFC Fight Night: Costa vs. Vettori,2021-10-23,Featherweight,Alex Caceres,SeungWoo Choi,SUB,Rear Naked Choke,2,211,Alex Caceres,70,145,73,Southpaw,19,12,0,1988-06-20,0,46,64,0.71,54,72,0,0,0.0,1,0,49,22,33,13,17,11,14,37,54,9,10,0,0,SeungWoo Choi,72,145,74,Orthodox,10,4,0,1992-11-03,1,33,98,0.33,38,104,0,0,0.0,0,0,15,18,78,11,16,4,4,26,85,3,3,4,10
