Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,First Name F_1,Last Name F_1,Nickname F_1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,First Name F_2,Last Name F_2,Nickname F_2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Light Heavyweight,Glover Teixeira,Jan Blachowicz,SUB,Rear Naked Choke,2,182,Glover Teixeira,Glover,Teixeira,,74.0,205.0,76.0,Orthodox,33,7,0,1979-10-28,0.0,23.0,39.0,0.58,71.0,93.0,2.0,6.0,0.33,2.0,0.0,317.0,17.0,33.0,6.0,6.0,0.0,0.0,11.0,25.0,0.0,0.0,12.0,14.0,Jan Blachowicz,Jan,Blachowicz,,74.0,205.0,78.0,Orthodox,28,9,0,1983-02-24,0.0,28.0,45.0,0.62,53.0,73.0,0.0,0.0,,0.0,0.0,15.0,20.0,37.0,6.0,6.0,2.0,2.0,26.0,43.0,1.0,1.0,1.0,1.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Bantamweight,Petr Yan,Cory Sandhagen,U-DEC,,5,300,Petr Yan,Petr,Yan,No Mercy,67.0,135.0,67.0,Switch,16,2,0,1993-02-11,1.0,149.0,270.0,0.55,158.0,280.0,0.0,2.0,0.0,1.0,1.0,69.0,100.0,217.0,27.0,29.0,22.0,24.0,135.0,252.0,7.0,9.0,7.0,9.0,Cory Sandhagen,Cory,Sandhagen,,71.0,135.0,70.0,Switch,14,4,0,1992-04-20,0.0,169.0,445.0,0.37,172.0,449.0,1.0,6.0,0.16,0.0,1.0,20.0,118.0,389.0,28.0,32.0,23.0,24.0,168.0,443.0,1.0,2.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Lightweight,Islam Makhachev,Dan Hooker,SUB,Kimura,1,145,Islam Makhachev,Islam,Makhachev,,70.0,155.0,70.0,Southpaw,21,1,0,1991-10-27,0.0,2.0,3.0,0.66,13.0,14.0,1.0,1.0,1.0,2.0,0.0,108.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,Dan Hooker,Dan,Hooker,The Hangman,72.0,155.0,75.0,Switch,21,11,0,1990-02-13,0.0,4.0,13.0,0.3,19.0,28.0,0.0,0.0,,0.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,3.0,4.0,13.0,0.0,0.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Heavyweight,Alexander Volkov,Marcin Tybura,U-DEC,,3,300,Alexander Volkov,Alexander,Volkov,Drago,79.0,250.0,80.0,Orthodox,34,9,0,1988-10-24,0.0,75.0,139.0,0.53,89.0,153.0,0.0,0.0,,0.0,0.0,120.0,53.0,117.0,18.0,18.0,4.0,4.0,54.0,114.0,18.0,22.0,3.0,3.0,Marcin Tybura,Marcin,Tybura,Tybur,75.0,249.0,78.0,Orthodox,22,7,0,1985-11-09,0.0,58.0,139.0,0.41,73.0,157.0,0.0,16.0,0.0,0.0,0.0,121.0,39.0,117.0,15.0,17.0,4.0,5.0,47.0,121.0,11.0,18.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Welterweight,Khamzat Chimaev,Li Jingliang,SUB,Rear Naked Choke,1,196,Khamzat Chimaev,Khamzat,Chimaev,Borz,74.0,170.0,75.0,Orthodox,10,0,0,1994-05-01,0.0,25.0,25.0,1.0,58.0,62.0,1.0,2.0,0.5,3.0,0.0,181.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,24.0,Li Jingliang,Li,Jingliang,The Leech,72.0,170.0,71.0,Orthodox,18,7,0,1988-03-20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Light Heavyweight,Magomed Ankalaev,Volkan Oezdemir,U-DEC,,3,300,Magomed Ankalaev,Magomed,Ankalaev,,75.0,205.0,75.0,Orthodox,16,1,0,1992-06-02,1.0,66.0,108.0,0.61,76.0,118.0,1.0,4.0,0.25,0.0,0.0,105.0,43.0,82.0,20.0,23.0,3.0,3.0,59.0,100.0,6.0,7.0,1.0,1.0,Volkan Oezdemir,Volkan,Oezdemir,No Time,74.0,205.0,75.0,Orthodox,17,6,0,1989-09-19,0.0,48.0,102.0,0.47,56.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,67.0,3.0,12.0,22.0,23.0,41.0,92.0,7.0,10.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Women's Strawweight,Amanda Ribas,Virna Jandiroba,U-DEC,,3,300,Amanda Ribas,Amanda,Ribas,,63.0,125.0,66.0,Orthodox,11,2,0,1993-08-26,0.0,88.0,233.0,0.37,124.0,273.0,1.0,5.0,0.2,1.0,0.0,43.0,59.0,194.0,15.0,24.0,14.0,15.0,84.0,227.0,4.0,6.0,0.0,0.0,Virna Jandiroba,Virna,Jandiroba,Carcara,63.0,115.0,64.0,Orthodox,17,3,0,1988-05-30,1.0,50.0,155.0,0.32,119.0,224.0,1.0,8.0,0.12,0.0,0.0,186.0,46.0,141.0,4.0,14.0,0.0,0.0,46.0,148.0,1.0,4.0,3.0,3.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Featherweight,Zubaira Tukhugov,Ricardo Ramos,U-DEC,,3,300,Zubaira Tukhugov,Zubaira,Tukhugov,Warrior,68.0,145.0,68.0,Orthodox,20,5,1,1991-01-15,0.0,77.0,181.0,0.42,78.0,185.0,2.0,7.0,0.28,0.0,0.0,55.0,73.0,174.0,2.0,5.0,2.0,2.0,77.0,181.0,0.0,0.0,0.0,0.0,Ricardo Ramos,Ricardo,Ramos,,69.0,145.0,72.0,Orthodox,15,4,0,1995-08-01,0.0,68.0,224.0,0.3,71.0,227.0,0.0,0.0,,0.0,0.0,0.0,49.0,187.0,10.0,19.0,9.0,18.0,67.0,223.0,1.0,1.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Middleweight,Albert Duraev,Roman Kopylov,U-DEC,,3,300,Albert Duraev,Albert,Duraev,,71.0,185.0,75.0,Orthodox,15,3,0,1989-01-05,0.0,71.0,140.0,0.5,152.0,265.0,1.0,9.0,0.11,1.0,0.0,333.0,54.0,118.0,6.0,8.0,11.0,14.0,41.0,92.0,0.0,0.0,30.0,48.0,Roman Kopylov,Roman,Kopylov,,72.0,185.0,75.0,Southpaw,8,2,0,1991-05-04,1.0,42.0,93.0,0.45,54.0,111.0,1.0,2.0,0.5,0.0,0.0,25.0,30.0,76.0,7.0,12.0,5.0,5.0,35.0,81.0,2.0,4.0,5.0,8.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Welterweight,Elizeu Zaleski dos Santos,Benoit Saint Denis,U-DEC,,3,300,Elizeu Zaleski dos Santos,Elizeu,Zaleski dos Santos,Capoeira,71.0,170.0,73.0,Orthodox,23,7,0,1986-12-11,0.0,149.0,259.0,0.57,167.0,279.0,0.0,4.0,0.0,0.0,0.0,120.0,96.0,200.0,37.0,42.0,16.0,17.0,112.0,207.0,32.0,47.0,5.0,5.0,Benoit Saint Denis,Benoit,Saint Denis,God of War,71.0,170.0,73.0,Southpaw,8,1,0,1995-12-18,0.0,67.0,148.0,0.45,80.0,162.0,2.0,14.0,0.14,0.0,0.0,115.0,40.0,114.0,20.0,27.0,7.0,7.0,64.0,140.0,3.0,7.0,0.0,1.0
